Timestamp,Service ID,Average Availability (%),Average Response Time (ms)
12/22/2024 20:40,ORDERING-SERVICE,0.0,0.0
12/22/2024 20:41,ORDERING-SERVICE,100.0,943.7532345
12/22/2024 20:42,ORDERING-SERVICE,100.0,1156.25818
12/22/2024 20:42,ORDERING-SERVICE,100.0,1932.112323
12/22/2024 20:43,ORDERING-SERVICE,100.0,948.6760839
12/22/2024 20:44,ORDERING-SERVICE,100.0,1173.17727
12/22/2024 20:45,ORDERING-SERVICE,100.0,716.868529
12/22/2024 20:46,ORDERING-SERVICE,100.0,1406.785532
12/22/2024 20:47,ORDERING-SERVICE,100.0,1428.390566
12/22/2024 20:47,ORDERING-SERVICE,50.0,470.5202099
12/22/2024 20:48,ORDERING-SERVICE,100.0,774.594151
12/22/2024 20:49,ORDERING-SERVICE,100.0,477.2787574
12/22/2024 20:50,ORDERING-SERVICE,100.0,593.1155947
12/22/2024 21:00,ORDERING-SERVICE,100.0,1402.004791
12/22/2024 21:01,ORDERING-SERVICE,50.0,653.5923795
12/22/2024 21:01,ORDERING-SERVICE,100.0,573.6982314
12/22/2024 21:02,ORDERING-SERVICE,100.0,1067.827583
12/22/2024 21:03,ORDERING-SERVICE,66.66666667,343.3268469
12/22/2024 21:04,ORDERING-SERVICE,100.0,751.7453145
12/22/2024 21:05,ORDERING-SERVICE,100.0,705.5453515
12/22/2024 21:01,ORDERING-SERVICE,100.0,573.6982314
12/22/2024 21:02,ORDERING-SERVICE,100.0,1067.827583
12/22/2024 21:03,ORDERING-SERVICE,66.66666667,343.3268469
12/22/2024 21:04,ORDERING-SERVICE,100.0,751.7453145
12/22/2024 21:05,ORDERING-SERVICE,100.0,705.5453515
12/22/2024 21:14,ORDERING-SERVICE,100.0,876.0096294
12/22/2024 21:15,ORDERING-SERVICE,100.0,862.4479343
12/22/2024 21:15,ORDERING-SERVICE,100.0,890.1990393
12/22/2024 21:16,ORDERING-SERVICE,100.0,833.8856376
12/22/2024 21:16,ORDERING-SERVICE,100.0,898.6309017
12/22/2024 21:18,ORDERING-SERVICE,50.0,75.85258139
12/22/2024 21:19,ORDERING-SERVICE,50.0,60.95503934
12/22/2024 21:19,ORDERING-SERVICE,50.0,64.95563648
12/22/2024 21:20,ORDERING-SERVICE,100.0,273.8627307
12/22/2024 21:21,ORDERING-SERVICE,100.0,1513.867136
12/22/2024 21:22,ORDERING-SERVICE,50.0,935.249023
12/22/2024 21:23,ORDERING-SERVICE,100.0,2078.859955
12/22/2024 21:24,ORDERING-SERVICE,99.92025518,2458.875314
12/22/2024 21:24,ORDERING-SERVICE,100.0,409.4642311
12/22/2024 21:25,ORDERING-SERVICE,100.0,383.1756523
12/22/2024 21:25,ORDERING-SERVICE,100.0,368.768137
